City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
86,Hermanus,ZA,-34.4187,19.2345,294.71,74,77,8.0,broken clouds
87,Port Elizabeth,ZA,-33.918,25.5701,293.76,83,75,7.72,broken clouds
88,Luderitz,NA,-26.6481,15.1594,294.01,74,16,2.31,few clouds
89,Kapaa,US,22.0752,-159.319,293.14,75,20,3.09,few clouds
90,Lokoja,NG,7.8024,6.743,304.18,13,0,1.71,clear sky
91,Uruzgan,AF,32.8333,66.0,279.41,51,79,1.68,broken clouds
92,Esperance,AU,-33.8667,121.9,292.06,70,4,8.16,clear sky
93,Clyde River,CA,70.4692,-68.5914,241.28,68,40,5.14,scattered clouds
94,Torbay,CA,47.6666,-52.7314,283.01,94,100,10.29,moderate rain
95,San Patricio,US,28.017,-97.5169,282.68,31,1,2.7,clear sky
96,Chokurdakh,RU,70.6333,147.9167,238.61,100,100,0.98,overcast clouds
97,Port Alfred,ZA,-33.5906,26.891,294.39,84,100,10.95,light rain
98,Yatou,CN,37.15,122.3833,270.17,58,51,4.71,broken clouds
99,Oranjemund,NA,-28.55,16.4333,293.09,74,27,3.31,scattered clouds
100,Sao Joao Da Barra,BR,-21.6403,-41.0511,303.2,79,67,11.31,broken clouds
101,Merauke,ID,-8.4667,140.3333,300.04,85,100,3.48,overcast clouds
102,Vardo,NO,70.3705,31.1107,270.05,78,100,11.7,overcast clouds
103,Lompoc,US,34.6391,-120.4579,293.22,46,0,3.09,clear sky
104,Kot Samaba,PK,28.5522,70.4684,290.46,23,0,4.02,clear sky
105,Boundiali,CI,9.5217,-6.4869,304.41,11,41,1.36,scattered clouds
106,Kruisfontein,ZA,-34.0033,24.7314,292.53,82,90,8.51,overcast clouds
107,Kulhudhuffushi,MV,6.6221,73.07,300.1,71,34,5.03,scattered clouds
